,badge,work_date,cost_center,num_hours,category,description,ws_rule,ws_rule_text,status,race,,,
192,3369,10/6/19,2736,7.48,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
193,3381,10/6/19,2809,7.71,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
194,3382,10/6/19,2838,8.06,4006,Double Time,APBC,A-Shift Paint App B/C,Active,Non-Hispanic/Latino,,,
195,3406,10/6/19,1835,7.53,4006,Double Time,A0630AD1,A-Shift 06:30 Start 10 hr,Active,Non-Hispanic/Latino,,,
196,3411,10/6/19,2942,7.51,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
197,3465,10/6/19,1830,7.91,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
198,3481,10/6/19,2825,7.46,4006,Double Time,A0700PS2,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
199,3484,10/6/19,1730,11.35,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
200,3490,10/6/19,1720,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
201,3500,10/6/19,2613,11.33,4006,Double Time,AICP,A-Shift ICP,Active,Non-Hispanic/Latino,,,
202,3552,10/6/19,1765,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
203,3568,10/6/19,1625,11.5,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
204,3582,10/6/19,1725,11.45,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
205,3588,10/6/19,1715,11.5,4006,Double Time,A11&8P62,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
206,3598,10/6/19,1720,11.52,4006,Double Time,A11&8P14,Paint A-Shift 8hr/11.5hr,Active,Non-Hispanic/Latino,,,
207,3607,10/6/19,2777,11.66,4006,Double Time,SHFA,A-Shift,Active,Non-Hispanic/Latino,,,
208,3627,10/6/19,2941,6.4,4006,Double Time,A0700PS1,A: Paintshop 7:00am 10 hr,Active,Non-Hispanic/Latino,,,
209,3659,10/6/19,2856,7.91,4006,Double Time,AXA2,A-Shift X5 Asm Team 2,Active,Non-Hispanic/Latino,,,
